duration_sec,bike_id,user_type,member_gender,age,distance_km,start_day_of_week,end_day_of_week,start_hour,start_time_of_day,duration_minute
1940,4424,Subscriber,Female,35.0,5.65,Thursday,Thursday,22,night,32.333333333333336
1520,5229,Subscriber,Male,35.0,5.66,Thursday,Thursday,22,night,25.333333333333332
2384,4727,Subscriber,Female,48.0,8.92,Thursday,Thursday,21,night,39.733333333333334
1567,5945,Subscriber,Male,35.0,5.85,Thursday,Thursday,20,night,26.116666666666667
1401,4329,Subscriber,Male,32.0,5.15,Thursday,Thursday,20,night,23.35
1939,2997,Subscriber,Female,28.0,6.28,Thursday,Thursday,20,night,32.31666666666667
1213,4832,Subscriber,Male,54.0,5.31,Thursday,Thursday,20,night,20.216666666666665
1185,4817,Subscriber,Male,32.0,5.13,Thursday,Thursday,19,night,19.75
1487,5229,Subscriber,Male,42.0,5.24,Thursday,Thursday,19,night,24.783333333333335
1412,4834,Subscriber,Male,35.0,5.24,Thursday,Thursday,19,night,23.533333333333335
2195,5822,Subscriber,Male,41.0,6.42,Thursday,Thursday,19,night,36.583333333333336
2058,4435,Subscriber,Female,35.0,6.0,Thursday,Thursday,19,night,34.3
1663,6148,Subscriber,Male,35.0,5.66,Thursday,Thursday,19,night,27.716666666666665
1399,6243,Subscriber,Male,34.0,5.26,Thursday,Thursday,18,night,23.316666666666666
1378,5133,Subscriber,Female,38.0,5.14,Thursday,Thursday,18,night,22.966666666666665
1428,5175,Subscriber,Female,33.0,5.09,Thursday,Thursday,18,night,23.8
2074,4320,Subscriber,Male,36.0,5.84,Thursday,Thursday,17,afternoon,34.56666666666667
2578,5886,Subscriber,Female,34.0,8.43,Thursday,Thursday,17,afternoon,42.96666666666667
2298,1835,Subscriber,Male,50.0,6.71,Thursday,Thursday,17,afternoon,38.3
1993,6080,Subscriber,Male,30.0,6.55,Thursday,Thursday,17,afternoon,33.21666666666667
1728,6603,Subscriber,Other,32.0,6.78,Thursday,Thursday,17,afternoon,28.8
2477,4706,Subscriber,Male,41.0,5.77,Thursday,Thursday,17,afternoon,41.28333333333333
1078,5985,Subscriber,Male,57.0,5.37,Thursday,Thursday,17,afternoon,17.966666666666665
1872,6499,Subscriber,Male,41.0,5.07,Thursday,Thursday,17,afternoon,31.2
1403,5107,Customer,Other,36.0,5.44,Thursday,Thursday,17,afternoon,23.383333333333333
1925,256,Subscriber,Female,39.0,5.75,Thursday,Thursday,17,afternoon,32.083333333333336
1313,6447,Subscriber,Male,30.0,5.41,Thursday,Thursday,17,afternoon,21.883333333333333
2284,4739,Customer,Female,49.0,5.74,Thursday,Thursday,16,afternoon,38.06666666666667
2280,5878,Customer,Female,49.0,5.74,Thursday,Thursday,16,afternoon,38.0
2262,5790,Customer,Female,49.0,5.74,Thursday,Thursday,16,afternoon,37.7
1228,5979,Subscriber,Male,31.0,5.29,Thursday,Thursday,16,afternoon,20.466666666666665
2119,6249,Subscriber,Female,38.0,5.74,Thursday,Thursday,16,afternoon,35.31666666666667
1656,5656,Subscriber,Female,52.0,6.96,Thursday,Thursday,16,afternoon,27.6
1263,6386,Subscriber,Female,48.0,5.09,Thursday,Thursday,16,afternoon,21.05
1478,5596,Subscriber,Male,34.0,6.31,Thursday,Thursday,16,afternoon,24.633333333333333
2154,5618,Subscriber,Female,27.0,6.69,Thursday,Thursday,16,afternoon,35.9
1659,5981,Subscriber,Male,26.0,6.88,Thursday,Thursday,16,afternoon,27.65
1709,6339,Subscriber,Male,29.0,6.32,Thursday,Thursday,16,afternoon,28.483333333333334
1822,6391,Subscriber,Male,62.0,6.8,Thursday,Thursday,16,afternoon,30.366666666666667
3343,5612,Subscriber,Male,29.0,8.32,Thursday,Thursday,15,afternoon,55.71666666666667
1747,5937,Subscriber,Male,35.0,5.63,Thursday,Thursday,15,afternoon,29.116666666666667
1447,5204,Subscriber,Male,30.0,6.3,Thursday,Thursday,15,afternoon,24.116666666666667
1512,1388,Subscriber,Male,60.0,5.15,Thursday,Thursday,15,afternoon,25.2
1393,6051,Subscriber,Male,65.0,5.5,Thursday,Thursday,15,afternoon,23.216666666666665
2704,5310,Subscriber,Male,35.0,5.61,Thursday,Thursday,14,afternoon,45.06666666666667
1386,4565,Subscriber,Female,28.0,5.26,Thursday,Thursday,14,afternoon,23.1
1188,5500,Subscriber,Male,33.0,5.32,Thursday,Thursday,14,afternoon,19.8
1751,6477,Subscriber,Male,41.0,6.04,Thursday,Thursday,14,afternoon,29.183333333333334
1134,5741,Subscriber,Male,35.0,5.47,Thursday,Thursday,13,afternoon,18.9
2094,6127,Subscriber,Male,37.0,5.34,Thursday,Thursday,13,afternoon,34.9
1396,6236,Subscriber,Female,28.0,5.49,Thursday,Thursday,13,afternoon,23.266666666666666
2313,3513,Subscriber,Male,30.0,8.42,Thursday,Thursday,13,afternoon,38.55
2588,6526,Subscriber,Male,41.0,6.04,Thursday,Thursday,12,afternoon,43.13333333333333
1606,4655,Subscriber,Male,36.0,6.5,Thursday,Thursday,12,afternoon,26.766666666666666
2365,5142,Subscriber,Male,59.0,5.27,Thursday,Thursday,12,afternoon,39.416666666666664
2970,5076,Subscriber,Female,27.0,8.61,Thursday,Thursday,11,morning,49.5
